api_name,kingdom,phylum,class,family,order,subfamily,genus,species,api_internal_id,author,publication_name,publication_year,api_link,status,original_source
GBIF,Animalia,Chordata,Mammalia,Ursidae,,Ursinae,Ursus,arctos,2433433,,,,https://www.gbif.org/species/2433433,Accepted,
GBIF,Animalia,Chordata,Mammalia,Ursidae,,Ursinae,Ursus,horribilis,8471830,Ord,,1815,https://www.gbif.org/species/8471830,Synonym,
GBIF,Animalia,Chordata,Mammalia,Ursidae,,Ursinae,Ursus,procerus,8547600,Miller,,1899,https://www.gbif.org/species/8547600,Synonym,
