api_name,kingdom,phylum,class,family,order,subfamily,genus,species,api_internal_id,author,publication_name,publication_year,api_link,status,original_source
GBIF,Animalia,Arthropoda,Insecta,Cerambycidae,,,Trichocnemis,spiculatus,6263417,,,,https://www.gbif.org/species/6263417,Accepted,
GBIF,Animalia,Arthropoda,Insecta,Cerambycidae,,,Ergates,spiculatus,4292778,Gemminger & Harold,,1872,https://www.gbif.org/species/4292778,Synonym,
GBIF,Animalia,Arthropoda,Insecta,Cerambycidae,,,Ergates,californica,4292782,(White),,1853,https://www.gbif.org/species/4292782,Synonym,
GBIF,Animalia,Arthropoda,Insecta,Cerambycidae,,,Ergates,spiculata,4906314,Blackwelder,,1946,https://www.gbif.org/species/4906314,Synonym,
GBIF,Animalia,Arthropoda,Insecta,Cerambycidae,,,Ergates,spiculates,4906311,Meeske,,1893,https://www.gbif.org/species/4906311,Synonym,
GBIF,Animalia,Arthropoda,Insecta,Cerambycidae,,,Ergates,spiculigera,4292783,(White),,1853,https://www.gbif.org/species/4292783,Synonym,
GBIF,Animalia,Arthropoda,Insecta,Cerambycidae,,,Macrotoma,californica,5820564,White,,1853,https://www.gbif.org/species/5820564,Synonym,
GBIF,Animalia,Arthropoda,Insecta,Cerambycidae,,,Macrotoma,spiculata,5820561,White,,1853,https://www.gbif.org/species/5820561,Synonym,
GBIF,Animalia,Arthropoda,Insecta,Cerambycidae,,,Macrotoma,spiculigera,5820560,White,,1853,https://www.gbif.org/species/5820560,Synonym,
